,Likelyhoods
0,0.41718967856562233
1,0.16048177433108182
2,0.12497916950067758
3,0.20214437149931408
4,0.1031053222880266
5,0.14276727166368838
6,0.16048177433108182
7,0.16925376044864626
8,0.6604870519429601
9,0.30037528353436377
10,0.13930772869571958
11,0.16730059970705966
12,0.09788520410046883
13,0.48269089149800976
14,0.7455065451342413
15,0.44396154527153725
16,0.16627068184197583
17,0.32995802585858497
18,0.16423965738159005
19,0.13014791301344805
20,0.1664416546008481
21,0.0929886450097583
22,0.09302909218144675
23,0.14617747248001067
24,0.12937526781311307
25,0.3601487271517708
26,0.7382541908394464
27,0.0920994383079736
28,0.6511918369300348
29,0.08519542540840287
30,0.13849233207518763
31,0.14062566619021477
32,0.16221781774538846
33,0.09723700451588063
34,0.15315588142036562
35,0.16048177433108182
36,0.3938935757688274
37,0.16026195615007433
38,0.16048177433108182
39,0.14458693982205476
40,0.2233104965572095
41,0.1646325823528003
42,0.09764068464222984
43,0.6977765986707233
44,0.48398527398328134
45,0.15315588142036562
46,0.1664416546008481
47,0.16048177433108182
48,0.1887081653596702
49,0.6262371041012906
50,0.14831338547323455
51,0.4588718647636564
52,0.16048177433108182
53,0.08789344192685776
54,0.4382515669755876
55,0.16136190843068515
56,0.14273843845586567
57,0.1349931421634667
58,0.24198344674613592
59,0.2806574331804179
60,0.08519542540840287
61,0.09616996133442768
62,0.7471214809152842
63,0.17946064544401263
64,0.3820268295837959
65,0.13954319234730986
66,0.16048177433108182
67,0.14306129889907043
68,0.1664416546008481
69,0.10614199688167533
70,0.3594777463603025
71,0.08519542540840287
72,0.31571246707201284
73,0.6203899403924149
74,0.1664416546008481
75,0.42392290813484956
76,0.09025028821578773
77,0.09723700451588063
78,0.09723700451588063
79,0.10153225056668035
80,0.3098596763541133
81,0.16048177433108182
82,0.16048177433108182
83,0.14689917770177166
84,0.2131690696023649
85,0.0920994383079736
86,0.0920994383079736
87,0.6939994877609094
88,0.16941411885208893
89,0.4419705783865143
90,0.09723107718744599
91,0.08966198572141644
92,0.08853801239506354
93,0.08364042091598536
94,0.41512497935271975
95,0.26712259729213367
96,0.08796505221107045
97,0.12391471587546887
98,0.09266977484967566
99,0.1802593757264079
100,0.16925376044864626
101,0.0920994383079736
102,0.10958639027764407
103,0.12391471587546887
104,0.16048177433108182
105,0.2803681483897366
106,0.09771311199414387
107,0.3636927917714401
108,0.1376472314921184
109,0.3651548842196596
110,0.5409371856763979
111,0.12937526781311307
112,0.09584673462408558
113,0.16048177433108182
114,0.30044828628527454
115,0.23146657991909955
116,0.08468086096056128
117,0.17431083155411894
118,0.09266977484967566
119,0.7273848123839286
120,0.13729409694674224
121,0.16048177433108182
122,0.09302909218144675
123,0.08789344192685776
124,0.13675823390576058
125,0.13930772869571958
126,0.09764068464222984
127,0.12697899770692614
128,0.09025028821578773
129,0.08372958831589518
130,0.6871125082906095
131,0.46964797852092577
132,0.09266977484967566
133,0.10437363360381513
134,0.43869289834572406
135,0.6793227851763477
136,0.7032017841504805
137,0.7765925547663199
138,0.08519542540840287
139,0.126277565968959
140,0.09266977484967566
141,0.09723700451588063
142,0.24300230546300883
143,0.13729409694674224
144,0.6275748660089945
145,0.1887081653596702
146,0.25984327983192834
147,0.126277565968959
148,0.295064018719333
149,0.13855849707755222
150,0.09302909218144675
151,0.09266977484967566
152,0.1397059120063352
153,0.16048177433108182
154,0.20331610575484882
155,0.10249550992143452
156,0.18818432502038085
157,0.10437363360381513
158,0.30158443354001924
159,0.16048177433108182
160,0.7492906785408817
161,0.5794752960963474
162,0.08652768318283077
163,0.28150253616505005
164,0.28551827505940525
165,0.15637356723889614
166,0.08246738911334223
167,0.40168026165241694
168,0.3028128175761247
169,0.3220073057245056
170,0.15224605922524745
171,0.09723700451588063
172,0.16048177433108182
173,0.38932749925917326
174,0.0971596011242619
175,0.16730059970705966
176,0.1887081653596702
177,0.08789879997846833
178,0.1403165919813181
179,0.10426842498815937
180,0.1413404313195169
181,0.43993034457436286
182,0.7569497779595954
183,0.6237320599129047
184,0.09771311199414387
185,0.08882972729250559
186,0.09723700451588063
187,0.3274925811857461
188,0.12937526781311307
189,0.3308074904092034
190,0.12651014843896233
191,0.17431083155411894
192,0.0920994383079736
193,0.17082896320008462
194,0.1546142561416218
195,0.2131690696023649
196,0.12391471587546887
197,0.7046695646707207
198,0.7013958216735624
199,0.14008771179100657
200,0.14463966502889763
201,0.631600986467416
202,0.0920994383079736
203,0.16048177433108182
204,0.7552863176068475
205,0.16730059970705966
206,0.30667038630295135
207,0.10437363360381513
208,0.16048177433108182
209,0.13628378163183205
210,0.3651548842196596
211,0.13763562686534808
212,0.12937526781311307
213,0.08229303023312905
214,0.236937185805502
215,0.12391471587546887
216,0.3601487271517708
217,0.3938935757688274
218,0.23538162320628914
219,0.1389965971237735
220,0.14651304041456323
221,0.10437363360381513
222,0.42392290813484956
223,0.16925376044864626
224,0.09764068464222984
225,0.1077603164344865
226,0.4523879788119286
227,0.16048177433108182
228,0.27949892031571627
229,0.769967529659817
230,0.745715765195477
231,0.7864513279325173
232,0.11115154126797888
233,0.12937526781311307
234,0.3338967430703785
235,0.09025028821578773
236,0.16048177433108182
237,0.1396565888502848
238,0.134256062200923
239,0.10437363360381513
240,0.37908698317503475
241,0.09771311199414387
242,0.08853801239506354
243,0.16048177433108182
244,0.16611024743851965
245,0.17879467998301934
246,0.09266977484967566
247,0.09060110790046695
248,0.09526435462303971
249,0.13849233207518763
250,0.09266977484967566
251,0.09723700451588063
252,0.08273933629074044
253,0.6337050451074069
254,0.16285975170171013
255,0.11396157250912023
256,0.6540861346010085
257,0.09764068464222984
258,0.09266977484967566
259,0.16048177433108182
260,0.2818883999165762
261,0.16925376044864626
262,0.737316359371018
263,0.0971596011242619
264,0.12274292059280661
265,0.13469813617749932
266,0.32496180012878284
267,0.09266977484967566
268,0.0920994383079736
269,0.1277724991573465
270,0.1281643221556273
271,0.6471071588309374
272,0.1443207244443205
273,0.12413430269889657
274,0.14145317180654948
275,0.1277724991573465
276,0.1389965971237735
277,0.13930772869571958
278,0.15315588142036562
279,0.0971596011242619
280,0.14651304041456323
281,0.09025028821578773
282,0.09025028821578773
283,0.15315588142036562
284,0.16730059970705966
285,0.1664416546008481
286,0.14620975644746276
287,0.0920994383079736
288,0.1277724991573465
289,0.28551827505940525
290,0.16373074188463332
291,0.08853801239506354
292,0.6262371041012906
293,0.0929886450097583
294,0.120189477376407
295,0.16039169460496705
296,0.08508460352121676
297,0.16925376044864626
298,0.16730059970705966
299,0.6488560039475199
300,0.09771311199414387
301,0.4527179298035708
302,0.1450569601921154
303,0.3651548842196596
304,0.19358396257871827
305,0.08853801239506354
306,0.40439044094272536
307,0.16048177433108182
308,0.09723700451588063
309,0.16048177433108182
310,0.09771311199414387
311,0.1643448807775946
312,0.14651304041456323
313,0.1802691963282177
314,0.09788520410046883
315,0.1348822205370204
316,0.12749975270525232
317,0.13954319234730986
318,0.13541498994126028
319,0.09266977484967566
320,0.10660059606718851
321,0.17431083155411894
322,0.16048177433108182
323,0.1415675749721543
324,0.10437363360381513
325,0.46890257103977495
326,0.14926090047580554
327,0.16730059970705966
328,0.16048177433108182
329,0.17431083155411894
330,0.14340355372619878
331,0.41322578096646434
332,0.16048177433108182
333,0.1413661810239063
334,0.13967019981486167
335,0.13849233207518763
336,0.09788520410046883
337,0.08364042091598536
338,0.09856952615918037
339,0.3738865831919617
340,0.1077603164344865
341,0.15315588142036562
342,0.14831338547323455
343,0.2887250355063879
344,0.1664416546008481
345,0.13378054512690277
346,0.08390340311183106
347,0.0920994383079736
348,0.08364042091598536
349,0.14651304041456323
350,0.2908319657554704
351,0.09302909218144675
352,0.09788520410046883
353,0.10577211955083618
354,0.1318273046572284
355,0.08796505221107045
356,0.16048177433108182
357,0.1081475016938768
358,0.7430737426856864
359,0.1235352524227052
360,0.13930772869571958
361,0.5578785613781096
362,0.16012044105171333
363,0.08571922308078768
364,0.13729409694674224
365,0.08853801239506354
366,0.08229303023312905
367,0.13939454229757475
368,0.7489542587431336
369,0.1018619585751823
370,0.16048177433108182
371,0.14463966502889763
372,0.20419664071342222
373,0.19269708629203955
374,0.13139510908631447
375,0.09019714374988788
376,0.09109039663633041
377,0.1045485439600927
378,0.14153710873084926
379,0.12391471587546887
380,0.33140719577730526
381,0.08519542540840287
382,0.24960321885686632
383,0.10759820883189232
384,0.09788520410046883
385,0.2803681483897366
386,0.29091691360786137
387,0.16048177433108182
388,0.4455531852173994
389,0.7442245104438171
390,0.16048177433108182
391,0.32995802585858497
392,0.2233104965572095
393,0.11861151975530326
394,0.1784467352386829
395,0.16423965738159005
396,0.12497916950067758
397,0.21051947880082547
398,0.6604870519429601
399,0.09266977484967566
400,0.14575099045542142
401,0.08229303023312905
402,0.21870538544513257
403,0.09025028821578773
404,0.42392290813484956
405,0.7455065451342413
406,0.43869289834572406
407,0.10437363360381513
408,0.09723700451588063
409,0.19732978917770644
410,0.1664416546008481
411,0.5386079119905911
412,0.16730059970705966
413,0.6623945348383977
414,0.39291928888466054
415,0.10321614025853618
416,0.4002253602488017
417,0.16048177433108182
418,0.0971596011242619
419,0.7538026134577632
420,0.3281345555428168
421,0.7293408557386463
422,0.7430737426856864
423,0.08796505221107045
424,0.2887250355063879
425,0.14187636125879538
426,0.12937526781311307
427,0.32995802585858497
428,0.08853801239506354
429,0.16048177433108182
430,0.08789344192685776
431,0.3896895496147996
432,0.1450569601921154
433,0.24960321885686632
434,0.08468086096056128
435,0.16730059970705966
436,0.16048177433108182
437,0.1887081653596702
438,0.2949203475161982
439,0.40439044094272536
440,0.08571922308078768
441,0.12808606483966484
442,0.1887081653596702
443,0.5299525196536831
444,0.10437363360381513
445,0.29401338167499363
446,0.10426842498815937
447,0.1664416546008481
448,0.10437363360381513
449,0.13939972235906373
450,0.2131690696023649
451,0.09302909218144675
452,0.09302909218144675
453,0.16538814127583418
454,0.16627315356403155
455,0.10426842498815937
456,0.10828310626857482
457,0.08798113211026268
458,0.08853801239506354
459,0.27124575514848775
460,0.10577211955083618
461,0.6447355095136249
462,0.14651304041456323
463,0.08257376555413104
464,0.16048177433108182
465,0.6961384343174054
466,0.7489542587431336
467,0.09764068464222984
468,0.08390340311183106
469,0.12373290975985075
470,0.32995802585858497
471,0.0971596011242619
472,0.8039212475904047
473,0.09025028821578773
474,0.11439858165198497
475,0.745836078503726
476,0.1114486424042798
477,0.42392290813484956
478,0.44462008957677307
479,0.7372886310662399
480,0.6829467118738953
481,0.6576793494976209
482,0.14076401635555574
483,0.1664416546008481
484,0.09011976221765591
485,0.10437363360381513
486,0.7442245104438171
487,0.13014791301344805
488,0.1664416546008481
489,0.16925376044864626
490,0.1887081653596702
491,0.12937526781311307
492,0.13014791301344805
493,0.16048177433108182
494,0.6907486926222042
495,0.12707309302841496
496,0.13967019981486167
497,0.5861041897743768
498,0.14328548595485052
499,0.18818432502038085
500,0.14306129889907043
501,0.09025028821578773
502,0.137203835722475
503,0.09302909218144675
504,0.7804655507279412
505,0.10437363360381513
506,0.15315588142036562
507,0.4128480392936899
508,0.09788520410046883
509,0.15315588142036562
510,0.126277565968959
511,0.1637836929644612
512,0.14688686774688267
513,0.48623705083916935
514,0.15736929596861596
515,0.16730059970705966
516,0.0830806146498376
517,0.1887081653596702
518,0.09019714374988788
519,0.10153225056668035
520,0.631600986467416
521,0.44462008957677307
522,0.1389965971237735
523,0.09011976221765591
524,0.16048177433108182
525,0.13748340704627576
526,0.16941411885208893
527,0.4737925997435271
528,0.08519542540840287
529,0.137203835722475
530,0.16048177433108182
531,0.09302909218144675
532,0.09266977484967566
533,0.1396313092979936
534,0.16048177433108182
535,0.16048177433108182
536,0.6907486926222042
537,0.0920994383079736
538,0.10923463891987485
539,0.7372886310662399
540,0.14651304041456323
541,0.1396565888502848
542,0.4634493800275378
543,0.4703985589324802
544,0.08796505221107045
545,0.2988315493517375
546,0.13542174298598514
547,0.09302909218144675
548,0.08508460352121676
549,0.6767445171829709
550,0.32118443864831653
551,0.11865852498056653
552,0.08468086096056128
553,0.402215371212303
554,0.16048177433108182
555,0.16730059970705966
556,0.15248039901449015
557,0.3637835527809536
558,0.08966198572141644
559,0.5883469941726418
560,0.16048177433108182
561,0.14561165601770554
562,0.1254947558419315
563,0.0929886450097583
564,0.09847955466779897
565,0.08519542540840287
566,0.45637607371348127
567,0.14575099045542142
568,0.09025028821578773
569,0.08508460352121676
570,0.08364042091598536
571,0.08821826884541108
572,0.16048177433108182
573,0.14239997303358537
574,0.09266977484967566
575,0.12948986574639043
576,0.16048177433108182
577,0.16538814127583418
578,0.16730059970705966
579,0.41512497935271975
580,0.37263178120501395
581,0.16048177433108182
582,0.10321614025853618
583,0.16048177433108182
584,0.16048177433108182
585,0.49108807474602745
586,0.10498116230065337
587,0.6760389360193583
588,0.32995802585858497
589,0.3787950413141472
590,0.08796505221107045
591,0.6603464646881749
592,0.18818432502038085
593,0.15224605922524745
594,0.09266977484967566
595,0.30057155994584395
596,0.09771311199414387
597,0.0971596011242619
598,0.24960321885686632
599,0.1995484591997638
600,0.6907486926222042
601,0.0957833351802165
602,0.16730059970705966
603,0.12346090524695726
604,0.10437363360381513
605,0.13014791301344805
606,0.09266977484967566
607,0.1418883780928797
608,0.7686628111879256
609,0.13849233207518763
610,0.5420354440926152
611,0.14104932039147702
612,0.24560197924839397
613,0.2977094270187872
614,0.1389965971237735
615,0.1664416546008481
616,0.09513920061456169
617,0.44462008957677307
618,0.08321014380779591
619,0.1403165919813181
620,0.08798113211026268
621,0.12879831886633913
622,0.08273933629074044
623,0.2949203475161982
